2025-09-28 15:56:21,687 - __main__ - INFO - Бот остановлен!
2025-09-28 15:56:21,949 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 15:56:21,949 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 15:56:21,951 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 16:02:47,331 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 16:02:47,593 - __main__ - INFO - Бот запущен!
2025-09-28 16:02:47,851 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 16:02:47,851 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 16:02:47,852 - aiogram.dispatcher - INFO - Start polling
2025-09-28 16:02:47,852 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 16:02:48,006 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 16:03:00,451 - aiogram.event - INFO - Update id=221272128 is not handled. Duration 0 ms by bot id=7651594720
2025-09-28 16:04:59,185 - aiogram.dispatcher - INFO - Polling stopped
2025-09-28 16:04:59,450 - __main__ - INFO - Бот остановлен!
2025-09-28 16:04:59,696 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 16:04:59,696 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 16:04:59,698 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 16:05:18,552 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 16:05:18,807 - __main__ - INFO - Бот запущен!
2025-09-28 16:05:19,057 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 16:05:19,058 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 16:05:19,058 - aiogram.dispatcher - INFO - Start polling
2025-09-28 16:05:19,059 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 16:05:19,287 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 16:05:21,027 - aiogram.event - INFO - Update id=221272129 is handled. Duration 687 ms by bot id=7651594720
2025-09-28 16:05:23,287 - aiogram.event - INFO - Update id=221272130 is handled. Duration 140 ms by bot id=7651594720
2025-09-28 16:05:25,208 - aiogram.event - INFO - Update id=221272131 is handled. Duration 125 ms by bot id=7651594720
2025-09-28 16:05:34,356 - aiogram.event - INFO - Update id=221272132 is handled. Duration 77 ms by bot id=7651594720
2025-09-28 16:05:38,847 - aiogram.event - INFO - Update id=221272133 is handled. Duration 78 ms by bot id=7651594720
2025-09-28 16:06:56,398 - aiogram.dispatcher - INFO - Polling stopped
2025-09-28 16:06:56,649 - __main__ - INFO - Бот остановлен!
2025-09-28 16:06:56,887 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 16:06:56,888 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 16:06:56,889 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 16:07:19,734 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 16:07:19,994 - __main__ - INFO - Бот запущен!
2025-09-28 16:07:20,250 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 16:07:20,250 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 16:07:20,251 - aiogram.dispatcher - INFO - Start polling
2025-09-28 16:07:20,251 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 16:07:20,413 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 16:07:23,970 - aiogram.event - INFO - Update id=221272134 is handled. Duration 203 ms by bot id=7651594720
2025-09-28 16:07:27,183 - aiogram.event - INFO - Update id=221272135 is handled. Duration 203 ms by bot id=7651594720
2025-09-28 16:07:29,163 - aiogram.event - INFO - Update id=221272136 is handled. Duration 77 ms by bot id=7651594720
2025-09-28 16:07:52,836 - aiogram.dispatcher - INFO - Polling stopped
2025-09-28 16:07:53,102 - __main__ - INFO - Бот остановлен!
2025-09-28 16:07:53,341 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 16:07:53,342 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 16:07:53,343 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 16:07:55,904 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 16:07:56,155 - __main__ - INFO - Бот запущен!
2025-09-28 16:07:56,404 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 16:07:56,404 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 16:07:56,405 - aiogram.dispatcher - INFO - Start polling
2025-09-28 16:07:56,405 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 16:07:56,562 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 16:07:59,473 - aiogram.event - INFO - Update id=221272137 is handled. Duration 266 ms by bot id=7651594720
2025-09-28 16:08:05,566 - aiogram.event - INFO - Update id=221272138 is handled. Duration 108 ms by bot id=7651594720
2025-09-28 16:08:10,479 - aiogram.event - INFO - Update id=221272139 is handled. Duration 358 ms by bot id=7651594720
2025-09-28 16:08:15,389 - aiogram.event - INFO - Update id=221272140 is handled. Duration 78 ms by bot id=7651594720
2025-09-28 16:10:08,308 - aiogram.dispatcher - INFO - Polling stopped
2025-09-28 16:10:08,568 - __main__ - INFO - Бот остановлен!
2025-09-28 16:10:08,810 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 16:10:08,810 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 16:10:08,811 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 16:10:11,035 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 16:10:11,279 - __main__ - INFO - Бот запущен!
2025-09-28 16:10:11,535 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 16:10:11,536 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 16:10:11,536 - aiogram.dispatcher - INFO - Start polling
2025-09-28 16:10:11,537 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 16:10:11,706 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 16:10:14,031 - aiogram.event - INFO - Update id=221272141 is handled. Duration 219 ms by bot id=7651594720
2025-09-28 16:10:17,688 - aiogram.event - INFO - Update id=221272142 is handled. Duration 233 ms by bot id=7651594720
2025-09-28 16:10:18,735 - aiogram.event - INFO - Update id=221272143 is handled. Duration 92 ms by bot id=7651594720
2025-09-28 16:10:22,277 - aiogram.event - INFO - Update id=221272144 is handled. Duration 312 ms by bot id=7651594720
2025-09-28 16:10:24,976 - aiogram.event - INFO - Update id=221272145 is handled. Duration 171 ms by bot id=7651594720
2025-09-28 16:10:29,177 - aiogram.event - INFO - Update id=221272146 is handled. Duration 171 ms by bot id=7651594720
2025-09-28 16:10:38,173 - aiogram.event - INFO - Update id=221272147 is handled. Duration 171 ms by bot id=7651594720
2025-09-28 16:10:57,647 - aiogram.dispatcher - INFO - Polling stopped
2025-09-28 16:10:57,911 - __main__ - INFO - Бот остановлен!
2025-09-28 16:10:58,166 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 16:10:58,166 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 16:10:58,168 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 16:11:00,477 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 16:11:00,742 - __main__ - INFO - Бот запущен!
2025-09-28 16:11:01,005 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 16:11:01,006 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 16:11:01,006 - aiogram.dispatcher - INFO - Start polling
2025-09-28 16:11:01,007 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 16:11:01,186 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 16:11:04,276 - aiogram.event - INFO - Update id=221272148 is handled. Duration 297 ms by bot id=7651594720
2025-09-28 16:11:06,493 - aiogram.event - INFO - Update id=221272149 is handled. Duration 593 ms by bot id=7651594720
2025-09-28 16:12:06,928 - aiogram.dispatcher - INFO - Polling stopped
2025-09-28 16:12:07,182 - __main__ - INFO - Бот остановлен!
2025-09-28 16:12:07,419 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 16:12:07,420 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 16:12:07,421 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 16:12:09,968 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 16:12:10,220 - __main__ - INFO - Бот запущен!
2025-09-28 16:12:10,473 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 16:12:10,474 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 16:12:10,474 - aiogram.dispatcher - INFO - Start polling
2025-09-28 16:12:10,475 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 16:12:10,638 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 16:12:13,070 - aiogram.event - INFO - Update id=221272150 is handled. Duration 281 ms by bot id=7651594720
2025-09-28 16:12:16,780 - aiogram.event - INFO - Update id=221272151 is handled. Duration 312 ms by bot id=7651594720
2025-09-28 16:12:18,144 - aiogram.event - INFO - Update id=221272152 is handled. Duration 109 ms by bot id=7651594720
2025-09-28 16:12:22,249 - aiogram.event - INFO - Update id=221272153 is handled. Duration 78 ms by bot id=7651594720
2025-09-28 16:15:16,070 - aiogram.dispatcher - INFO - Polling stopped
2025-09-28 16:15:16,321 - __main__ - INFO - Бот остановлен!
2025-09-28 16:15:16,558 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 16:15:16,558 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 16:15:16,560 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 16:15:18,891 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 16:15:19,208 - __main__ - INFO - Бот запущен!
2025-09-28 16:15:19,475 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 16:15:19,475 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 16:15:19,476 - aiogram.dispatcher - INFO - Start polling
2025-09-28 16:15:19,476 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 16:15:19,632 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 16:16:29,895 - aiogram.dispatcher - INFO - Polling stopped
